Data from Accelerometer (Altitude):
Reading: 0.76, Time Elapsed: 7545
Reading: 1.11, Time Elapsed: 7568
Reading: 1.08, Time Elapsed: 7593
Reading: 1.11, Time Elapsed: 7619
Reading: 1.05, Time Elapsed: 7643
Reading: 1.09, Time Elapsed: 7668
Reading: 1.13, Time Elapsed: 7693
Reading: 1.12, Time Elapsed: 7719
Reading: 1.09, Time Elapsed: 7742
Reading: 1.06, Time Elapsed: 7767
Reading: 1.04, Time Elapsed: 7792
Reading: 1.04, Time Elapsed: 7818
Reading: 1.06, Time Elapsed: 7848
Reading: 1.07, Time Elapsed: 7866
Reading: 1.06, Time Elapsed: 7892
Reading: 1.08, Time Elapsed: 7919
Reading: 1.11, Time Elapsed: 7933
Reading: 1.12, Time Elapsed: 7958
Reading: 1.06, Time Elapsed: 7983
Reading: 1.09, Time Elapsed: 8008
Reading: 1.09, Time Elapsed: 8033
Reading: 1.07, Time Elapsed: 8058
Reading: 1.05, Time Elapsed: 8083
Reading: 1.02, Time Elapsed: 8108
Reading: 1.04, Time Elapsed: 8132
Reading: 0.98, Time Elapsed: 8158
Reading: 1.01, Time Elapsed: 8191
Reading: 1.06, Time Elapsed: 8216
Reading: 1.01, Time Elapsed: 8246
Reading: 1.01, Time Elapsed: 8265
Reading: 1.05, Time Elapsed: 8290
Reading: 1.06, Time Elapsed: 8316
Reading: 1.07, Time Elapsed: 8341
Reading: 1.06, Time Elapsed: 8364
Reading: 1.09, Time Elapsed: 8389
Reading: 1.12, Time Elapsed: 8415
Reading: 1.14, Time Elapsed: 8439
Reading: 1.11, Time Elapsed: 8464
Reading: 1.08, Time Elapsed: 8489
Reading: 1.01, Time Elapsed: 8515
Reading: 0.99, Time Elapsed: 8538
Reading: 0.98, Time Elapsed: 8563
Reading: 1.05, Time Elapsed: 8589
Reading: 1.04, Time Elapsed: 8613
Reading: 1.07, Time Elapsed: 8638
Reading: 1.11, Time Elapsed: 8663
Reading: 1.15, Time Elapsed: 8689
Reading: 1.15, Time Elapsed: 8712
Reading: 1.11, Time Elapsed: 8738
Reading: 1.14, Time Elapsed: 8763
Reading: 1.12, Time Elapsed: 8788
Reading: 1.1, Time Elapsed: 8804
Reading: 1.11, Time Elapsed: 8829
Reading: 1.1, Time Elapsed: 8854
Reading: 1.11, Time Elapsed: 8879
Reading: 1.08, Time Elapsed: 8903
Reading: 1.11, Time Elapsed: 8929
Reading: 1.12, Time Elapsed: 8954
Reading: 1.17, Time Elapsed: 8979
Reading: 1.14, Time Elapsed: 9004
Reading: 1.08, Time Elapsed: 9029
Reading: 1.11, Time Elapsed: 9054
Reading: 1.18, Time Elapsed: 9079
Reading: 1.23, Time Elapsed: 9104
Reading: 1.21, Time Elapsed: 9129
Reading: 1.2, Time Elapsed: 9161
Reading: 1.2, Time Elapsed: 9187
Reading: 1.18, Time Elapsed: 9212
Reading: 1.17, Time Elapsed: 9238
Reading: 1.13, Time Elapsed: 9261
Reading: 1.12, Time Elapsed: 9286
Reading: 1.07, Time Elapsed: 9312
Reading: 1.07, Time Elapsed: 9337
Reading: 1.12, Time Elapsed: 9360
Reading: 1.13, Time Elapsed: 9386
Reading: 1.16, Time Elapsed: 9411
Reading: 1.16, Time Elapsed: 9435
Reading: 1.16, Time Elapsed: 9460
Reading: 1.12, Time Elapsed: 9486
Reading: 1.07, Time Elapsed: 9502
Reading: 1.11, Time Elapsed: 9527
Reading: 1.13, Time Elapsed: 9552
Reading: 1.12, Time Elapsed: 9577
Reading: 1.08, Time Elapsed: 9602
Reading: 1.02, Time Elapsed: 9627
Reading: 1.06, Time Elapsed: 9652
Reading: 1.05, Time Elapsed: 9677
